source,target,type
cap:PCB设计,fam:嵌入式/硬件,belongs_to_family
fam:仿真与数据,tech:T4.03,supports_domain
cap:仿真,fam:仿真与数据,belongs_to_family
cap:数字孪生,fam:仿真与数据,belongs_to_family
cap:数据采集,fam:仿真与数据,belongs_to_family
cap:数据标注,fam:仿真与数据,belongs_to_family
fam:机械设计,tech:T3.07,supports_domain
cap:SolidWorks,fam:机械设计,belongs_to_family
cap:AutoCAD,fam:机械设计,belongs_to_family
cap:Catia,fam:机械设计,belongs_to_family
cap:Creo,fam:机械设计,belongs_to_family
cap:NX/UG,fam:机械设计,belongs_to_family
fam:其他,tech:T6.03,supports_domain
cap:标定,fam:其他,belongs_to_family
job:O00015,cap:机器学习,requires_capability
job:O00015,cap:多模态,requires_capability
job:O00015,cap:嵌入式开发,requires_capability
job:O00015,cap:CAN,requires_capability
job:O00014,cap:机器学习,requires_capability
job:O00014,cap:多模态,requires_capability
job:O00014,cap:CAN,requires_capability
job:O00016,cap:机器学习,requires_capability
job:O00016,cap:多模态,requires_capability
job:O00016,cap:CAN,requires_capability
job:O00012,cap:Python,requires_capability
job:O00012,cap:JAX,requires_capability
job:O00012,cap:强化学习,requires_capability
job:O00012,cap:深度学习,requires_capability
job:O00012,cap:机器学习,requires_capability
job:O00012,cap:计算机视觉,requires_capability
job:O00012,cap:多模态,requires_capability
job:O00012,cap:CAN,requires_capability
job:O00012,cap:Prompt Engineering,requires_capability
job:O00018,cap:机器学习,requires_capability
job:O00018,cap:动力学,requires_capability
job:O00018,cap:CAN,requires_capability
job:O00019,cap:PyTorch,requires_capability
job:O00019,cap:TensorFlow,requires_capability
job:O00019,cap:JAX,requires_capability
job:O00019,cap:LLM,requires_capability
job:O00019,cap:深度学习,requires_capability
job:O00019,cap:机器学习,requires_capability
job:O00019,cap:Diffusion,requires_capability
job:O00019,cap:动力学,requires_capability
job:O00019,cap:仿真,requires_capability
job:O00019,cap:嵌入式开发,requires_capability
job:O00019,cap:CAN,requires_capability
job:O00010,cap:Python,requires_capability
job:O00010,cap:JAX,requires_capability
job:O00010,cap:强化学习,requires_capability
job:O00010,cap:深度学习,requires_capability
job:O00010,cap:机器学习,requires_capability
job:O00010,cap:计算机视觉,requires_capability
job:O00010,cap:多模态,requires_capability
job:O00010,cap:动力学,requires_capability
job:O00010,cap:CAN,requires_capability
job:O07975,cap:Python,requires_capability
job:O07975,cap:C++,requires_capability
job:O07975,cap:PyTorch,requires_capability
job:O07975,cap:TensorFlow,requires_capability
job:O07975,cap:LLM,requires_capability
job:O07975,cap:强化学习,requires_capability
job:O07975,cap:模仿学习,requires_capability
job:O07975,cap:深度学习,requires_capability
job:O07975,cap:机器学习,requires_capability
job:O07975,cap:计算机视觉,requires_capability
job:O07975,cap:Diffusion,requires_capability
job:O07975,cap:多模态,requires_capability
job:O07975,cap:仿真,requires_capability
job:O07975,cap:Linux,requires_capability
job:O07975,cap:DevOps,requires_capability
job:O07975,cap:数据采集,requires_capability
job:O00011,cap:Python,requires_capability
job:O00011,cap:PyTorch,requires_capability
job:O00011,cap:TensorFlow,requires_capability
job:O00011,cap:JAX,requires_capability
job:O00011,cap:深度学习,requires_capability
job:O00011,cap:机器学习,requires_capability
job:O00011,cap:计算机视觉,requires_capability
job:O00011,cap:多模态,requires_capability
job:O00011,cap:CAN,requires_capability
job:O00011,cap:Prompt Engineering,requires_capability
job:O00013,cap:机器学习,requires_capability
job:O00013,cap:多模态,requires_capability
job:O00013,cap:CAN,requires_capability
job:O03712,cap:数据采集,requires_capability
job:O00017,cap:JAX,requires_capability
job:O00017,cap:LLM,requires_capability
job:O00017,cap:强化学习,requires_capability
job:O00017,cap:机器学习,requires_capability
job:O00017,cap:自然语言处理,requires_capability
job:O01729,cap:Python,requires_capability
job:O01729,cap:Linux,requires_capability
job:O01729,cap:Docker,requires_capability
job:O01729,cap:Kubernetes,requires_capability
job:O01729,cap:CI/CD,requires_capability
job:O06208,cap:动力学,requires_capability
job:O06004,cap:Python,requires_capability
job:O06004,cap:PyTorch,requires_capability
job:O06004,cap:强化学习,requires_capability
job:O06004,cap:深度学习,requires_capability
job:O06004,cap:机器学习,requires_capability
job:O06004,cap:多模态,requires_capability
job:O06004,cap:端到端学习,requires_capability
job:O06004,cap:传感器,requires_capability
job:O06004,cap:Agent,requires_capability
job:O06013,cap:Python,requires_capability
job:O06013,cap:C++,requires_capability
job:O06013,cap:PyTorch,requires_capability
job:O06013,cap:VLA,requires_capability
job:O06013,cap:强化学习,requires_capability
job:O06013,cap:模仿学习,requires_capability
job:O06013,cap:深度学习,requires_capability
job:O06013,cap:计算机视觉,requires_capability
job:O06013,cap:动力学,requires_capability
job:O06013,cap:仿真,requires_capability
job:O06013,cap:数字孪生,requires_capability
job:O06013,cap:电机驱动,requires_capability
job:O06013,cap:传感器,requires_capability
job:O06013,cap:数据采集,requires_capability
job:O06041,cap:机器学习,requires_capability
job:O06041,cap:计算机视觉,requires_capability
job:O06041,cap:数据采集,requires_capability
job:O06018,cap:计算机视觉,requires_capability
job:O06219,cap:动力学,requires_capability
job:O06219,cap:CAN,requires_capability
job:O06219,cap:Prompt Engineering,requires_capability
job:O06213,cap:Python,requires_capability
job:O06213,cap:CAN,requires_capability
job:O06213,cap:电机驱动,requires_capability
job:O06213,cap:传感器,requires_capability
job:O06213,cap:PCB设计,requires_capability
job:O06015,cap:Python,requires_capability
job:O06015,cap:PyTorch,requires_capability
job:O06015,cap:深度学习,requires_capability
job:O06015,cap:机器学习,requires_capability
job:O06015,cap:计算机视觉,requires_capability
job:O06015,cap:Transformer,requires_capability
job:O06015,cap:Diffusion,requires_capability
job:O06015,cap:多模态,requires_capability
job:O06015,cap:动力学,requires_capability
job:O06015,cap:Agent,requires_capability
job:O06012,cap:Python,requires_capability
job:O06012,cap:PyTorch,requires_capability
job:O06012,cap:强化学习,requires_capability
job:O06012,cap:模仿学习,requires_capability
job:O06012,cap:深度学习,requires_capability
job:O06012,cap:机器学习,requires_capability
job:O06012,cap:仿真,requires_capability
job:O06012,cap:Agent,requires_capability
job:O06009,cap:Python,requires_capability
job:O06009,cap:PyTorch,requires_capability
job:O06009,cap:强化学习,requires_capability
job:O06009,cap:深度学习,requires_capability
job:O06009,cap:机器学习,requires_capability
job:O06009,cap:计算机视觉,requires_capability
job:O06009,cap:自然语言处理,requires_capability
job:O06009,cap:多模态,requires_capability
job:O06009,cap:动力学,requires_capability
job:O06008,cap:Python,requires_capability
job:O06008,cap:PyTorch,requires_capability
job:O06008,cap:深度学习,requires_capability
job:O06008,cap:机器学习,requires_capability
job:O06008,cap:计算机视觉,requires_capability
job:O06008,cap:Diffusion,requires_capability
job:O06008,cap:多模态,requires_capability
job:O06008,cap:仿真,requires_capability
job:O06008,cap:传感器,requires_capability
job:O06008,cap:Agent,requires_capability
job:O06050,cap:传感器,requires_capability
job:O06050,cap:Prompt Engineering,requires_capability
job:O06050,cap:数据采集,requires_capability
job:O06011,cap:Python,requires_capability
job:O06011,cap:PyTorch,requires_capability
job:O06011,cap:深度学习,requires_capability
job:O06011,cap:机器学习,requires_capability
job:O06011,cap:计算机视觉,requires_capability
job:O06011,cap:自然语言处理,requires_capability
job:O06011,cap:Transformer,requires_capability
job:O06011,cap:多模态,requires_capability
job:O06011,cap:动力学,requires_capability
job:O06011,cap:Agent,requires_capability
job:O06020,cap:Python,requires_capability
job:O06020,cap:计算机视觉,requires_capability
job:O06020,cap:嵌入式开发,requires_capability
job:O06020,cap:SolidWorks,requires_capability
job:O06020,cap:Catia,requires_capability
job:O06020,cap:NX/UG,requires_capability
job:O06020,cap:数据采集,requires_capability
job:O06027,cap:计算机视觉,requires_capability
job:O06027,cap:电机驱动,requires_capability
job:O06027,cap:传感器,requires_capability
job:O06027,cap:PCB设计,requires_capability
job:O06027,cap:Prompt Engineering,requires_capability
job:O06027,cap:Catia,requires_capability
job:O06031,cap:计算机视觉,requires_capability
job:O06031,cap:电机驱动,requires_capability
job:O06031,cap:传感器,requires_capability
job:O06031,cap:PCB设计,requires_capability
job:O06031,cap:Prompt Engineering,requires_capability
job:O06031,cap:Catia,requires_capability
job:O06045,cap:端到端学习,requires_capability
job:O06045,cap:CAN,requires_capability
job:O06045,cap:数据标注,requires_capability
job:O06034,cap:计算机视觉,requires_capability
job:O06034,cap:电机驱动,requires_capability
job:O06034,cap:传感器,requires_capability
job:O06034,cap:PCB设计,requires_capability
job:O06034,cap:Prompt Engineering,requires_capability
job:O06034,cap:Catia,requires_capability
job:O06030,cap:计算机视觉,requires_capability
job:O06030,cap:数据采集,requires_capability
job:O06022,cap:计算机视觉,requires_capability
job:O06025,cap:计算机视觉,requires_capability
job:O06039,cap:Python,requires_capability
job:O06039,cap:PyTorch,requires_capability
job:O06039,cap:MuJoCo,requires_capability
job:O06039,cap:强化学习,requires_capability
job:O06039,cap:模仿学习,requires_capability
job:O06039,cap:计算机视觉,requires_capability
job:O06039,cap:动力学,requires_capability
job:O06039,cap:仿真,requires_capability
job:O07662,cap:C++,requires_capability
job:O07662,cap:嵌入式开发,requires_capability
job:O07662,cap:CAN,requires_capability
job:O07662,cap:EtherCAT,requires_capability
job:O07662,cap:传感器,requires_capability
job:O07662,cap:Linux,requires_capability
job:O07662,cap:Docker,requires_capability
job:O07662,cap:Kubernetes,requires_capability
job:O01793,cap:动力学,requires_capability
job:O06014,cap:Python,requires_capability
job:O06014,cap:PyTorch,requires_capability
job:O06014,cap:CUDA,requires_capability
job:O06014,cap:深度学习,requires_capability
job:O06014,cap:计算机视觉,requires_capability
job:O06014,cap:Kubernetes,requires_capability
job:O06047,cap:Python,requires_capability
job:O06047,cap:ROS/ROS2,requires_capability
job:O06047,cap:计算机视觉,requires_capability
job:O06047,cap:标定,requires_capability
job:O07687,cap:C++,requires_capability
job:O07687,cap:多模态,requires_capability
job:O07687,cap:仿真,requires_capability
job:O07687,cap:嵌入式开发,requires_capability
job:O07687,cap:MCU,requires_capability
job:O07687,cap:电机驱动,requires_capability
job:O07687,cap:传感器,requires_capability
job:O07687,cap:PCB设计,requires_capability
job:O03554,cap:C++,requires_capability
job:O03554,cap:VLA,requires_capability
job:O03554,cap:强化学习,requires_capability
job:O03554,cap:深度学习,requires_capability
job:O03554,cap:计算机视觉,requires_capability
job:O03554,cap:嵌入式开发,requires_capability
job:O03554,cap:Agent,requires_capability
job:O01948,cap:C++,requires_capability
job:O01948,cap:Java,requires_capability
job:O01948,cap:PyTorch,requires_capability
job:O01948,cap:自然语言处理,requires_capability
job:O01948,cap:多模态,requires_capability
job:O01948,cap:端到端学习,requires_capability
job:O01948,cap:Docker,requires_capability
job:O01948,cap:Kubernetes,requires_capability
job:O07680,cap:多模态,requires_capability
job:O07680,cap:点云处理,requires_capability
job:O07680,cap:仿真,requires_capability
job:O07680,cap:FPGA,requires_capability
job:O07680,cap:传感器,requires_capability
job:O07680,cap:标定,requires_capability
job:O07682,cap:SLAM,requires_capability
job:O07682,cap:多模态,requires_capability
job:O07682,cap:仿真,requires_capability
job:O07682,cap:EtherCAT,requires_capability
job:O07682,cap:传感器,requires_capability
job:O06016,cap:Python,requires_capability
job:O06016,cap:计算机视觉,requires_capability
job:O06016,cap:嵌入式开发,requires_capability
job:O06016,cap:CAN,requires_capability
job:O06016,cap:传感器,requires_capability
job:O06016,cap:SolidWorks,requires_capability
